frequency_hz,h_real,h_imag,magnitude,magnitude_db,phase_deg,fit_real,fit_imag,fit_magnitude,fit_magnitude_db,fit_phase_deg,complex_error
200,0.941136741644491,-0.247429086267272,0.973118450757289,-0.236685858984943,-14.729983955961,0.953069946529776,-0.262586589826774,0.988581832796417,-0.0997474969416949,-15.4037654886961,0.0192912232113593
220,0.956328229299831,-0.291194270515256,0.99967884109681,-0.00278999882985372,-16.9350716746098,0.945686535522445,-0.28811637006169,0.988602076755845,-0.0995696310420383,-16.9440761843626,0.011077866114632
240,0.930655040768183,-0.292928584470339,0.975666931133276,-0.213968291299094,-17.4716704991284,0.937621282868408,-0.313439271399531,0.988624219278118,-0.0993750883079425,-18.4843681595315,0.021661412864961
260,0.930899038716286,-0.346930697414729,0.993445483703849,-0.0571192047261081,-20.4395936755336,0.92887996706045,-0.33853710831802,0.988648252370149,-0.0991639400842683,-20.0246397552539,0.00863301733322698
280,0.920749130323571,-0.342498764087145,0.982387074626307,-0.154347204501951,-20.4041125645677,0.919468851045204,-0.363391856210173,0.988674167358621,-0.0989362637805882,-21.5648893236961,0.020932281612189
300,0.902947635154509,-0.39544641612457,0.985744540870954,-0.124712388086128,-23.6510416361777,0.909394677754908,-0.387985664273323,0.98870195489367,-0.0986921428366284,-23.1051152290326,0.00986038419521416
320,0.907142009615578,-0.394925363292206,0.989379941266686,-0.0927379757678483,-23.5259585914493,0.898664665296737,-0.412300868274322,0.988731604952859,-0.0984316666849829,-24.6453158483304,0.0193332237374867
340,0.874403547551693,-0.4386476208092,0.978260343268885,-0.190911031063321,-26.640792982359,0.887286501803115,-0.436320003181866,0.988763106845433,-0.0981549307112558,-26.1854895724266,0.013091535970363
360,0.88842708957903,-0.449411553385832,0.995627158033836,-0.0380653103052406,-26.8326039541913,0.875268339946689,-0.46002581565693,0.988796449216853,-0.0978620362115007,-27.7256348067952,0.0169060715556958
380,0.846581160358542,-0.477984946331636,0.972198163953045,-0.24490406896979,-29.4493407936697,0.86261879112388,-0.483401276392437,0.988831620053617,-0.0975530903471168,-29.2657499724053,0.0169275583559133
400,0.862332857917042,-0.505500298174447,0.999574163980756,-0.00369955242432176,-30.378870341974,0.84934691931116,-0.506429592293364,0.988868606688362,-0.0972282060970475,-30.8058335065691,0.0130191470164205
420,0.822744499022014,-0.516745578957952,0.971562918211463,-0.250581386672573,-32.1319190041673,0.835462234598407,-0.529094218488635,0.98890739580522,-0.0968875022076178,-32.3458838637786,0.0177265252221014
440,0.830048776044201,-0.557186664465111,0.999718935336444,-0.00244163979421425,-33.8722685842352,0.820974686403984,-0.551378870166245,0.988947973445481,-0.09653110313961,-33.8858995165318,0.0107735591805426
460,0.798300604206948,-0.555538777029456,0.972577599711489,-0.241514745402548,-34.8341238525596,0.805894656376348,-0.573267534223197,0.988990325013494,-0.0961591390130222,-35.4258789561465,0.0192867431150577
480,0.790708121866823,-0.605112681362814,0.99568101876668,-0.0375954399086085,-37.4260878099036,0.790232950987257,-0.594744480721973,0.989034435282856,-0.0957717455492649,-36.9658206935621,0.0103790833840721
500,0.774676840132988,-0.598109024948992,0.978702514742792,-0.186985915496525,-37.6708516828461,0.774000793821842,-0.61579427414538,0.989080288402856,-0.09536906401094,-38.5057232601288,0.0176981659432035
520,0.749912793718514,-0.645561483028357,0.989504333771449,-0.0916459871324082,-40.7234735423891,0.757209817571044,-0.636401784441787,0.989127867905189,-0.0949512411392125,-40.0455852083829,0.0117109621851157
540,0.747360174025153,-0.642402645791719,0.98550920291954,-0.126786316406901,-40.6811124447471,0.7398720557321,-0.656552197852876,0.989177156710912,-0.0945184290888259,-41.5854051128091,0.0160088019258828
560,0.708417108976531,-0.680424734869283,0.982258937405306,-0.155480218546118,-43.8453488945916,0.721999934023,-0.67623102751624,0.989228137137681,-0.0940707853607344,-43.1251815705879,0.0142154956862562
580,0.715226545674138,-0.688227110777671,0.992575220145224,-0.0647314251782016,-43.8978881745532,0.703606261517016,-0.695424123835259,0.989280790907207,-0.093608472732516,-44.6649132023286,0.013668503972394
600,0.668649314338757,-0.710747052504725,0.975834657208814,-0.212475235701454,-46.748064836236,0.684704221503605,-0.714117684608919,0.989335099152992,-0.0931316591864201,-46.2045986527868,0.0164049140459101
620,0.676197952167934,-0.733959303773074,0.99796790034107,-0.0176685515861162,-47.3455771565556,0.665307362082193,-0.732298264914353,0.98939104242829,-0.0926405178352802,-47.744236591567,0.0110165331436811
640,0.632566126939939,-0.740164470499241,0.973644364406849,-0.231992911292733,-49.4818348549426,0.645429586495523,-0.749952786735089,0.989448600714311,-0.092135226846184,-49.2838257138082,0.0161641494199701
660,0.632047717693559,-0.774897651335505,0.999975343439487,-0.000214166803789256,-50.7974861879945,0.625085143209435,-0.76706854832817,0.989507753428666,-0.0916159693620435,-50.8233647408538,0.0104772275601157
680,0.596557470308159,-0.768926223191078,0.973205195265297,-0.235911626780234,-52.1945501359246,0.60428861574614,-0.783633233323494,0.989568479434051,-0.0910829334209941,-52.3628524209041,0.0166152567484886
700,0.581741672431533,-0.811282400295141,0.998299807909469,-0.0147802490565489,-54.3570424388125,0.583054912278186,-0.799634919548899,0.989630757047141,-0.0905363118738256,-53.9022875296521,0.0117212800763783
720,0.561355952596946,-0.800821711236704,0.977975418251455,-0.193441224328062,-54.9705069954115,0.561399254990534,-0.815062087574744,0.98969456404773,-0.0899763022993098,-55.441668870901,0.0142404421752377
740,0.531148044703315,-0.839940969725887,0.993790258563756,-0.0541052931408005,-57.6922317590268,0.539337169218288,-0.829903628971898,0.98975987768808,-0.0894031069176096,-56.9809952771643,0.0129541487459969
760,0.522920552885056,-0.833212866976397,0.983712146069489,-0.142639325327297,-57.8878077144157,0.516884472367771,-0.844148854277296,0.989826674702486,-0.0888169325017432,-58.5202656102474,0.0124912003529117
780,0.480096357770126,-0.863049155392126,0.987596252203907,-0.108411336532585,-60.9137193346708,0.494057262628841,-0.857787500661382,0.989894931317058,-0.0882179902871677,-60.0594787618099,0.0149195132286432
800,0.480502953802421,-0.866667160722268,0.990956636834957,-0.0789069868905029,-60.994867110507,0.470871907486435,-0.870809739292013,0.989964623259709,-0.0876064958795163,-61.5986336539103,0.0104841790497481
820,0.431797995929049,-0.881410137610445,0.981495461003669,-0.16223408970778,-63.9000196575619,0.447345032039501,-0.883206182389587,0.990035725770343,-0.0869826691605691,-63.1377292395296,0.0156504347756988
840,0.431931204739965,-0.898593908113473,0.997013328560237,-0.0259807157835232,-64.3275917294273,0.423493507135586,-0.894967889968379,0.990108213611245,-0.0863467341924768,-64.6767645030772,0.00918383081570535
860,0.386563899416759,-0.898576018752406,0.978197582193503,-0.19146829914195,-66.7228134271564,0.399334437329517,-0.906086376259309,0.990182061077662,-0.0856989191202637,-66.2157384608749,0.01481526606115
880,0.379486695128712,-0.925641070695481,1.00041068743691,0.00356645345403465,-67.7077562363647,0.374885148674686,-0.916553615809564,0.990257242008574,-0.0850394560727675,-67.754650161623,0.0101860721611491
900,0.342517194867247,-0.914545416332962,0.976581459641416,-0.205830500727819,-69.467979493588,0.350163176355614,-0.926362049254753,0.990333729797647,-0.0843685810618913,-69.2934986868438,0.014074581575621
920,0.322310485278938,-0.947430281119247,1.00075380913711,0.0065450364287983,-71.2119827340041,0.325186252170532,-0.935504588759481,0.990411497404368,-0.083686533880387,-70.8322831513064,0.0122675251568751
940,0.29904995462576,-0.933035820118695,0.979789118630246,-0.177347761057347,-72.2286784932505,0.299972291872872,-0.943974623122476,0.990490517365353,-0.0829935579981215,-72.3710027034293,0.0109776189200092
960,0.265704937660214,-0.962051423101359,0.998069163228866,-0.0167872470405852,-74.5606036380562,0.27453938238061,-0.95176602254264,0.990570761805821,-0.0822899004568994,-73.9096565256627,0.013558645882648
980,0.253383444202378,-0.950911761234067,0.984091635697172,-0.139289189408011,-75.0794416867256,0.248905768862538,-0.95887314304262,0.990652202451235,-0.081575811763924,-75.4482438348495,0.00913417630389123
1000,0.209176819196304,-0.971032218401222,0.993306856345149,-0.0583313356154715,-77.8432866642456,0.223089841710588,-0.965290830546754,0.990734810639102,-0.0808515457838992,-76.9867638825647,0.0150511039455061
1020,0.204346336786651,-0.96948363839766,0.990785521936453,-0.0804069652009499,-78.0975051159039,0.197110123407449,-0.971014424610482,0.99081855733092,-0.0801173596298667,-78.5252159554335,0.0073963565691977
1040,0.156303993626337,-0.975416861142028,0.987860815815522,-0.106084816373097,-80.8961328117581,0.170985255298756,-0.976039761798552,0.990903413124284,-0.0793735135528221,-80.0635993754275,0.0146944700320204
1060,0.15073083945816,-0.98510995466652,0.996574838507793,-0.0298016416169007,-81.3006914312938,0.144733984279226,-0.980363178709602,0.990989348265123,-0.0786202708301358,-81.6019135001396,0.00764814709732274
1080,0.106204017310708,-0.978548123221347,0.984294530490215,-0.137498563343846,-83.8058059026166,0.118375149402137,-0.983981514644958,0.991076332660085,-0.0778578976528721,-83.1401577230362,0.0133288483654504
1100,0.0943268736372258,-0.996446463739484,1.00090115105793,0.00782377396455782,-84.5923091498883,0.0919276684216591,-0.986892113919715,0.991164335889042,-0.077086663012049,-84.6783314736881,0.00985097894348206
1120,0.0581580243839644,-0.98010329362125,0.981827287239191,-0.15929804051182,-86.6041267116425,0.065410524277522,-0.989092827814441,0.991253327217734,-0.0763068385838573,-86.2164342179795,0.0115503454371118
1140,0.0347091873172074,-1.00194725816396,1.00254827107052,0.0221058473878738,-88.0159684146028,0.038842751531602,-0.990582016166082,0.991343275610526,-0.0755186986139511,-87.7544654582939,0.0120935966025312
1160,0.0106170157625361,-0.983475657993978,0.983532963804666,-0.144221596264303,-89.3814930141322,0.0122434227660111,-0.991358548596899,0.991434149743278,-0.0747225198008346,-89.2924247336788,0.00804892315770064
1180,-0.0232857779841764,-1.00120400247322,1.00147475356333,0.0128001105083087,-91.3323321851656,-0.0143683650476878,-0.991421805380533,0.991525918016337,-0.0739185811783731,-90.8303116199877,0.0132367531305844
1200,-0.038087616209253,-0.985496178502643,0.98623191205305,-0.120418977401248,-92.2132750465654,-0.0409735041985,-0.990771677944542,0.991618548567617,-0.0731071639975573,-92.3681257300004,0.00601325567791329
1220,-0.0806474529048758,-0.995016530735341,0.998279473943363,-0.0149571702408059,-94.6337722167043,-0.0675528898956012,-0.989408569008988,0.991712009285791,-0.0722885516074607,-93.9058667135205,0.0142448873329379
1240,-0.0891404587878812,-0.987703002540581,0.991717319915606,-0.0722420386878422,-95.1569882157608,-0.0940874339278567,-0.98733339236095,0.991806267823566,-0.0714630293356251,-95.4435342574507,0.00496076352192095
1260,-0.13374767330501,-0.984872573162845,0.993912685039741,-0.0530353315915236,-97.7335721703452,-0.120558078313604,-0.984547572265051,0.991901291611053,-0.0706308843676762,-96.9811280858471,0.0131935985091587
1280,-0.143284894272211,-0.986269666034382,0.996623507181207,-0.0293774683507532,-98.2660784262865,-0.146945808931038,-0.98105304251036,0.991997047869212,-0.0697924056264878,-98.5186479599496,0.00637302574375736
1300,-0.184377694899937,-0.973226815507349,0.990538019865563,-0.0825770052158882,-100.727542194605,-0.173231669119556,-0.976852245094293,0.992093503623377,-0.0689478836507467,-100.056093678192,0.0117208203802808
1320,-0.198876183665978,-0.981192621154205,1.00114469295752,0.009936990381454,-101.457955172318,-0.199396773242448,-0.971948128544366,0.992190625716851,-0.0680976104731011,-101.593465076188,0.00925913911335727
1340,-0.232039679353088,-0.959992364005017,0.987637459669399,-0.1080489252438,-103.588332773281,-0.225422320201328,-0.966344145878927,0.992288380824558,-0.0672418794978775,-103.130762026699,0.0091724901263021
1360,-0.256056236958643,-0.970210960557411,1.00343116578625,0.0297517149547559,-104.784290943864,-0.251289606892745,-0.960044252208234,0.992386735466762,-0.0663809853784645,-104.667984439576,0.0112286562349346
1380,-0.279235331382488,-0.947726960899182,0.988007470977567,-0.104795428246135,-106.416918640457,-0.276980041597442,-0.953052901977518,0.992485656022841,-0.0655152238943204,-106.205132261682,0.00578376870080733
1400,-0.311131507856602,-0.954157361211359,1.00360305157714,0.0312394633954605,-108.060104907854,-0.302475157292803,-0.945375045853865,0.992585108745091,-0.0646448918278559,-107.742205476791,0.0123313206154837
1420,-0.326256813386434,-0.933877443705749,0.989227268196472,-0.0940784150777531,-109.257229444675,-0.327756624879032,-0.937016127259087,0.992685059772591,-0.0637702868410128,-109.279204105471,0.00347861595484799
1440,-0.364509472435082,-0.933082572741965,1.00175358399642,0.0152180978538261,-111.338142821166,-0.352806266309716,-0.927982078550905,0.992785475145089,-0.0628917073517776,-110.81612820494,0.0127663649722951
1460,-0.374819813344785,-0.919938323245833,0.993366201887388,-0.0578124089320738,-112.167955023539,-0.377606067617456,-0.918279316855093,0.992886320816928,-0.0620094524105497,-112.3529778689,0.00324276349376407
1480,-0.413360224878487,-0.908942051667653,0.998520069303264,-0.0128640359943423,-114.454650236729,-0.402138191825337,-0.907914739551414,0.992987562670985,-0.0611238215765185,-113.889753227359,0.0112689571846807
